row_id,attacker_model,img1,img2,dataset,attack_type,source_csv,victim_model,attack_method,variant,similarity,source_column
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,clean,clean,0.203782856464386,Facenet512_clean
0,Facenet512,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,clean,clean,0.203782856464386,Facenet512_clean
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,clean,clean,0.203782856464386,Facenet512_clean
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,clean,clean,0.203782856464386,Facenet512_clean
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,PGD,vanilla,0.4942782819271087,Facenet512_PGD_adv
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,MI_FGSM,vanilla,0.7072520852088928,Facenet512_MI_FGSM_adv
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,TI_FGSM,vanilla,0.6047835946083069,Facenet512_TI_FGSM_adv
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,SI_NI_FGSM,vanilla,0.664053201675415,Facenet512_SI_NI_FGSM_adv
0,ArcFace,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,MI_ADMIX_DI_TI,vanilla,0.5582962036132812,Facenet512_MI_ADMIX_DI_TI_adv
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,PGD,vanilla,0.2904832661151886,Facenet512_PGD_adv
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,MI_FGSM,vanilla,0.2587789297103882,Facenet512_MI_FGSM_adv
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,TI_FGSM,vanilla,0.2494884133338928,Facenet512_TI_FGSM_adv
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,SI_NI_FGSM,vanilla,0.2760870158672333,Facenet512_SI_NI_FGSM_adv
0,GhostFaceNet,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,MI_ADMIX_DI_TI,vanilla,0.2673319280147552,Facenet512_MI_ADMIX_DI_TI_adv
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,PGD,vanilla,0.5822709798812866,Facenet512_PGD_adv
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,MI_FGSM,vanilla,0.6922020316123962,Facenet512_MI_FGSM_adv
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,eval,Facenet512,TI_FGSM,vanilla,0.7006357312202454,Facenet512_TI_FGSM_adv
