row_id,attacker_model,img1,img2,dataset,attack_type,bpa_cnn_path
0,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_1.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Catherine Deneuve_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r0_Renee_Zellweger_1_to_Catherine_Deneuve_2_impersonation_attack_07e70497.png
32,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Donald Rumsfeld_105.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Paul Burrell_11.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r32_Donald_Rumsfeld_105_to_Paul_Burrell_11_impersonation_attack_aa4be050.png
48,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Renee Zellweger_14.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Venus Williams_9.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r48_Renee_Zellweger_14_to_Venus_Williams_9_impersonation_attack_7e8201bf.png
57,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Mike Weir_10.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luis Horna_2.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r57_Mike_Weir_10_to_Luis_Horna_2_impersonation_attack_958d0f01.png
60,VGG-Face,/content/face_module/dataset_extractedfaces/lfw_pairs/Jason Kidd_9.jpg,/content/face_module/dataset_extractedfaces/lfw_pairs/Luiz Inacio Lula da Silva_22.jpg,lfw_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r60_Jason_Kidd_9_to_Luiz_Inacio_Lula_da_Silva_22_impersonation_attack_2a5bde05.png
2,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/107859.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/031892.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r2_107859_to_031892_impersonation_attack_06bf3623.png
8,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/023666.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/010959.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r8_023666_to_010959_impersonation_attack_11820b01.png
12,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/003089.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/016966.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r12_003089_to_016966_impersonation_attack_c51eb423.png
26,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/113117.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/129449.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r26_113117_to_129449_impersonation_attack_d5ae9017.png
34,VGG-Face,/content/face_module/dataset_extractedfaces/celeba_pairs/001430.jpg,/content/face_module/dataset_extractedfaces/celeba_pairs/046649.jpg,celeba_pairs,impersonation_attack,/mnt/c/Users/abc/Desktop/intern/coding/transferattack/results_bpa/VGG-Face/BPA_CNN/adv_r34_001430_to_046649_impersonation_attack_b5e8f875.png
